time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
7/10/2019,13183.73,11569.94,12567.02,124523.09,1554955348,12099.12,direct,
7/11/2019,12099.91,11002.39,12099.12,102929.11,1185222450,11343.12,direct,
7/12/2019,11931.91,11096.61,11343.12,55994.89,647690095.2,11797.37,direct,
7/13/2019,11835.87,10827.53,11797.37,59187.84,668325183.3,11363.97,direct,
7/14/2019,11447.92,10118.85,11363.97,76310.21,814667763.3,10204.41,direct,
7/15/2019,11070.18,9877.02,10204.41,92742.77,965178341.6,10850.26,direct,
7/16/2019,11025.76,9366.82,10850.26,113537.84,1140137760,9423.44,direct,
7/17/2019,9982.24,9086.51,9423.44,101032.08,965256823.8,9696.15,direct,
7/18/2019,10776.54,9292.61,9696.15,102443.07,1033842557,10638.35,direct,
7/19/2019,10757.41,10135.16,10638.35,62995.33,658190962.5,10532.94,direct,
7/20/2019,11094.32,10379.19,10532.94,56766.57,608954333.2,10759.42,direct,
7/21/2019,10833.99,10329.89,10759.42,38379.41,405339891.1,10586.71,direct,
7/22/2019,10676.6,10072.07,10586.71,50574.02,524442852.3,10325.87,direct,
7/23/2019,10328.44,9820.61,10325.87,52754.02,529438124.1,9854.15,direct,
7/24/2019,9920.54,9535.78,9854.15,54750.78,531611909.4,9772.14,direct,
7/25/2019,10184.43,9744.7,9772.14,40285.56,403576364.4,9882.43,direct,
7/26/2019,9890.05,9668.52,9882.43,31960.31,312717110,9847.45,direct,
7/27/2019,10202.95,9310.47,9847.45,53081.42,512612117.1,9478.32,direct,
7/28/2019,9591.52,9135.64,9478.32,28313.55,267243770.1,9531.77,direct,
7/29/2019,9717.69,9386.9,9531.77,31434.4,299936368.4,9506.93,direct,
7/30/2019,9749.53,9391.78,9506.93,28856.19,276402322.6,9595.52,direct,
7/31/2019,10123.94,9581.6,9595.52,42030.01,416343142.5,10089.25,direct,
8/1/2019,10488.81,9890.49,10089.25,43505.11,442037342.1,10409.79,direct,
8/2/2019,10666.64,10340.82,10409.79,44213.09,463688251.8,10528.99,direct,
8/3/2019,10915,10509.35,10528.99,34102.93,367536516.8,10820.41,direct,
8/4/2019,11074.95,10572.24,10820.41,39795.33,431699306.4,10978.91,direct,
